T_GeV,T_MeV,a_internal,a_physical,z,H_RTK_over_c_Mpc_inv,H_sameparams_LCDM_over_c_Mpc_inv,R_H
8.614109862550688e-07,0.0008614109862550688,2.9083762122807207e-07,2.6957626041529146e-07,3709524.4547246327,29702742.421087507,29702742.356626507,1.0000000021702036
8.885203346726523e-07,0.0008885203346726523,2.820052319192027e-07,2.613895531029323e-07,3825706.600510764,31592014.592863224,31592014.526374474,1.0000000021046063
9.164828377206647e-07,0.0009164828377206647,2.734339325769888e-07,2.534448490656162e-07,3945630.5789677096,33603224.16891389,33603224.100345284,1.0000000020405366
9.453253449128684e-07,0.0009453253449128683,2.6513154882549597e-07,2.457494018438656e-07,4069184.896270624,35740222.237047024,35740222.166326135,1.0000000019787478
9.75075914015463e-07,0.000975075914015463,2.5708998647002984e-07,2.3829562027489565e-07,4196634.033643158,38011484.04865945,38011483.9756258,1.0000000019213442
1.0057628635349478e-06,0.001005762863534948,2.4929394118026377e-07,2.310760198427697e-07,4328075.119964816,40425574.86953721,40425574.794204995,1.0000000018637067
1.037415477114901e-06,0.0010374154771149008,2.4173477184780155e-07,2.240833711959928e-07,4463649.365656886,42991851.09811793,42991851.02033534,1.0000000018099897
1.0700641502055394e-06,0.0010700641502055393,2.3440478654197092e-07,2.1731060808201653e-07,4603483.282256747,45720098.48543949,45720098.405117676,1.000000001757241
1.1037402390216028e-06,0.0011037402390216027,2.2729744107250682e-07,2.1075089453439156e-07,4747710.926044909,48620749.70051733,48620749.617947154,1.0000000016984314
1.1384761260154793e-06,0.0011384761260154794,2.2040603195723097e-07,2.043976293143272e-07,4896464.15883863,51704915.173414804,51704915.08811218,1.0000000016499966
1.1743052783241867e-06,0.0011743052783241866,2.1372429003613834e-07,1.9824443806017855e-07,5049883.034530175,54984315.54520193,54984315.45713639,1.0000000016011503
1.2112623182529347e-06,0.0012112623182529346,2.0724637477243005e-07,1.9228516595325867e-07,5208116.232468132,58471216.58628096,58471216.49507171,1.0000000015594845
1.2493820938028838e-06,0.0012493820938028838,2.0096666909857637e-07,1.8651387060273593e-07,5371311.515709716,62178465.49208956,62178465.39733819,1.0000000015237536
1.2887017513022177e-06,0.0012887017513022177,1.9487987468168224e-07,1.8092481525361828e-07,5539625.212989651,66119530.86850301,66119530.77027423,1.0000000014855925
